Vegetables,N,P,K
Beans,60-120,50-80,50-80
Brinjal,100-200,60-80,50-100
Cabbage,100-200,80-100,50-100
Carrot,80-150,60-80,80-100
Cauliflower,100-200,60-80,50-100
Chilli,100-300,80-100,80-100
Cowpea,50-100,40-60,40-60
Cucumber,80-150,40-60,40-70
Garden pea,60-80,50-60,50-60
Garlic,100-200,60-80,60-80
Lettuce,120-180,40-80,50-80
Okra,100-150,50-80,50-80
Onion,120-300,60-80,50-80
Spinach,80-120,40-60,40-60
Potato,100-200,60-80,80-120
Snap bean,100-150,50-80,50-80
Tomato,100-200,60-80,50-100
Watermelon,100-160,40-60,60-80
